match_id,date,home_team,away_team,season,home_form_wins,home_form_points,home_form_goals_for,home_form_goals_against,home_form_matches,away_form_wins,away_form_points,away_form_goals_for,away_form_goals_against,away_form_matches,home_win_rate_at_home,home_avg_goals_at_home,home_matches_at_home,away_win_rate_away,away_avg_goals_away,away_matches_away,h2h_home_wins,h2h_draws,h2h_away_wins,h2h_avg_goals,h2h_matches,home_score,away_score,winner
444290,2023-09-16 13:00:00+00:00,Juventus FC,SS Lazio,2023-2024,2,7,6,1,3,1,3,3,4,3,0.0,1.0,1,0.5,1.5,2,0,0,0,0.0,0,3,1,HOME_TEAM
444289,2023-09-16 16:00:00+00:00,FC Internazionale Milano,AC Milan,2023-2024,3,9,8,0,3,3,9,8,2,3,1.0,3.0,2,1.0,2.0,2,0,0,0,0.0,0,5,1,HOME_TEAM
444287,2023-09-16 18:45:00+00:00,Genoa CFC,SSC Napoli,2023-2024,1,3,2,5,3,2,6,6,3,3,0.0,1.0,1,1.0,3.0,1,0,0,0,0.0,0,2,2,DRAW
444284,2023-09-17 10:30:00+00:00,Cagliari Calcio,Udinese Calcio,2023-2024,0,1,1,4,3,0,2,1,4,3,0.0,0.0,1,0.0,1.0,1,0,0,0,0.0,0,0,0,DRAW
444291,2023-09-17 13:00:00+00:00,AC Monza,US Lecce,2023-2024,1,3,2,5,3,2,7,6,3,3,1.0,2.0,1,0.0,2.0,1,0,0,0,0.0,0,1,1,DRAW
444286,2023-09-17 13:00:00+00:00,Frosinone Calcio,US Sassuolo Calcio,2023-2024,1,4,3,4,3,1,3,3,5,3,0.5,1.5,2,0.0,0.0,1,0,0,0,0.0,0,4,2,HOME_TEAM
444285,2023-09-17 16:00:00+00:00,ACF Fiorentina,Atalanta BC,2023-2024,1,4,6,7,3,2,6,6,2,3,0.0,2.0,1,0.5,1.5,2,0,0,0,0.0,0,3,2,HOME_TEAM
444292,2023-09-17 18:45:00+00:00,AS Roma,Empoli FC,2023-2024,0,1,4,6,3,0,0,0,5,3,0.0,1.5,2,0.0,0.0,1,0,0,0,0.0,0,7,0,HOME_TEAM
444293,2023-09-18 16:30:00+00:00,US Salernitana 1919,Torino FC,2023-2024,0,2,3,5,3,1,4,2,4,3,0.0,1.0,1,0.0,1.0,1,0,0,0,0.0,0,0,3,AWAY_TEAM
444288,2023-09-18 18:45:00+00:00,Hellas Verona FC,Bologna FC 1909,2023-2024,2,6,4,4,3,1,4,3,4,3,1.0,2.0,1,0.0,1.0,1,0,0,0,0.0,0,0,0,DRAW
444300,2023-09-22 16:30:00+00:00,US Salernitana 1919,Frosinone Calcio,2023-2024,0,2,3,8,4,2,7,7,6,4,0.0,0.5,2,0.0,0.0,1,0,0,0,0.0,0,1,1,DRAW
444298,2023-09-22 18:45:00+00:00,US Lecce,Genoa CFC,2023-2024,2,8,7,4,4,1,4,4,7,4,1.0,2.0,2,0.5,0.5,2,0,0,0,0.0,0,1,0,HOME_TEAM
444299,2023-09-23 13:00:00+00:00,AC Milan,Hellas Verona FC,2023-2024,3,9,9,7,4,2,7,4,4,4,1.0,4.0,1,0.5,1.0,2,0,0,0,0.0,0,1,0,HOME_TEAM
444301,2023-09-23 16:00:00+00:00,US Sassuolo Calcio,Juventus FC,2023-2024,1,3,5,9,4,3,10,9,2,4,0.5,1.5,2,1.0,2.5,2,0,0,0,0.0,0,4,2,HOME_TEAM
444297,2023-09-23 18:45:00+00:00,SS Lazio,AC Monza,2023-2024,1,3,4,7,4,1,4,3,6,4,0.0,0.0,1,0.0,0.0,2,0,0,0,0.0,0,1,1,DRAW
444296,2023-09-24 10:30:00+00:00,Empoli FC,FC Internazionale Milano,2023-2024,0,0,0,12,4,4,12,13,1,4,0.0,0.0,2,1.0,2.0,1,0,0,0,0.0,0,0,1,AWAY_TEAM
444303,2023-09-24 13:00:00+00:00,Udinese Calcio,ACF Fiorentina,2023-2024,0,3,1,4,4,2,7,9,9,4,0.0,0.0,2,0.5,2.0,2,0,0,0,0.0,0,0,2,AWAY_TEAM
444294,2023-09-24 13:00:00+00:00,Atalanta BC,Cagliari Calcio,2023-2024,2,6,8,5,4,0,2,1,4,4,1.0,3.0,1,0.0,0.5,2,0,0,0,0.0,0,2,0,HOME_TEAM
444295,2023-09-24 16:00:00+00:00,Bologna FC 1909,SSC Napoli,2023-2024,1,5,3,4,4,2,7,8,5,4,0.5,1.0,2,0.5,2.5,2,0,0,0,0.0,0,0,0,DRAW
444302,2023-09-24 18:45:00+00:00,Torino FC,AS Roma,2023-2024,2,7,5,4,4,1,4,11,6,4,0.5,0.5,2,0.0,1.0,1,0,0,0,0.0,0,1,1,DRAW
444310,2023-09-26 18:45:00+00:00,Juventus FC,US Lecce,2023-2024,3,10,11,6,5,3,11,8,4,5,0.5,2.0,2,0.0,1.5,2,0,0,0,0.0,0,1,0,HOME_TEAM
444304,2023-09-27 16:30:00+00:00,Cagliari Calcio,AC Milan,2023-2024,0,2,1,6,5,4,12,10,7,5,0.0,0.0,2,0.6666666666666666,1.6666666666666667,3,0,0,0,0.0,0,1,3,AWAY_TEAM
444305,2023-09-27 16:30:00+00:00,Empoli FC,US Salernitana 1919,2023-2024,0,0,0,13,5,0,3,4,9,5,0.0,0.0,3,0.0,1.0,2,0,0,0,0.0,0,1,0,HOME_TEAM
444308,2023-09-27 16:30:00+00:00,Hellas Verona FC,Atalanta BC,2023-2024,2,7,4,5,5,3,9,10,5,5,0.5,1.0,2,0.3333333333333333,1.6666666666666667,3,0,0,0,0.0,0,0,1,AWAY_TEAM
